user,text,date
@joseantoniokast,junto ipoduje recorrer comuna recoleta pudimos conversar vecinos enterarnos primera persona graves problemas urbanísticos sufre comuna hoy nunca necesita conducción firme responsable recuperemosrecoleta,2024-05-15 17:13:48
@joseantoniokast,ahora vivo,2024-05-15 15:48:25
@joseantoniokast,gobiernoincompetente mantiene ministros grau dice problema puerto coronel tema competa ministerio gobierno cada puerto clave chile si compete gobierno tema orden público,2024-05-15 10:07:10
@joseantoniokast,dirá ministro educación pc respecto votación concejales izquierda rechazo recibir duocuc pintana izquierda quiere máseducación mejoreducacion,2024-05-15 09:40:32
@joseantoniokast,hace meses informó lista espera salud habian aumentado 27 millones consultas triste record ahora sabemos mentira situación aún peor 3 millones borradas secretaria indignos,2024-05-14 22:49:54
@joseantoniokast,izquierda siendo izquierda concejales pc fa pintana niegan miles jóvenes posibilidad acceder educación superior duocuc propia comuna quizás ministro educación podría haber intercedido verdad pc …,2024-05-14 20:16:52
@joseantoniokast,llegamos bajos mena puentealto vecinos sido victimas abandono ausencia delincuencia calles áreas nefastas condiciones sólo incivilidades sortear día día,2024-05-14 12:27:01
@joseantoniokast,gracias joseantoniokast apoyo prchile recuperarconcepcion necesitamos recuperar seguridad ciudad abandono lafuerzadechile clave penquistas gracias,2024-05-14 13:12:43
@joseantoniokast,quién fiscaliza fiscales fiscal chong sigue postergando innecesariamente calvario judicial sebastian zamora cuándo malos fiscales siguen impunemente cargos,2024-05-14 12:34:48
@joseantoniokast,hoy mañana agradable desayuno vega chica junto equipo campaña pudimos conversar locatarios contaron dificultades viven respecto orden seguridad sector vamos,2024-05-14 11:21:03
@joseantoniokast,hecho viviendo peor crisis seguridad carcelaria historia chile aquí contamos propuestas devolver seguridad chilenos comparte máscárcelesparachile,2024-05-13 16:22:57
@joseantoniokast,¡no pierdas joseantoniokast hoy meganoticias ahora 2230 hrs,2024-05-13 15:53:25
@joseantoniokast,país vivimos profunda crisis seguridad calles criminales delincuentes caminan libres total impunidad casas chilenos honestos responsables viven encerrados pueden salir libertad ¡necesitamos nueva política penitenciaria chile criminales deben pagar delitos cárcel efectiva máscárcelesparachile ¡difunde comparte,2024-05-13 20:53:02
@joseantoniokast,latercerapm cárceles lejos ciudades cambios gendarmería propuesta republicanos cambiar sistema penitenciario,2024-05-13 13:35:07
@joseantoniokast,¡en minutos secretaria general candidata alcaldesa recoleta ruthhurtado primer café cooperativa pierdas,2024-05-13 08:01:50
@joseantoniokast,gran abrazo felizdiadelamadre,2024-05-12 16:17:26
@joseantoniokast,ideas republicanas trabajamos documento dirigido candidatos alcaldes concejales gobernadores contiene propuestas recuperar reconstruir municipalidades gobiernos regionales país eje puesto probidad eficiencia transparencia,2024-05-12 11:32:48
@joseantoniokast,“guía re” hoja ruta republicanos conseguir triunfos regiones,2024-05-12 11:00:02
@joseantoniokast,terminando gran día terreno celebrando día madre tremendas mamás maipu muchas gracias diputado agustinromerole invitación equipo,2024-05-11 21:26:49
@joseantoniokast,si canal televisión puede establecer ruta migrantes irregulares pregunta autoridades cargo tema carolinatoha drmanuelmonsalv eduardovergarab gobiernoincompetente,2024-05-11 16:11:57
@joseantoniokast,¿cuál aporte ¿por conocen trabajos específicos hizo favor damnificados megaincendio región valparaíso preguntasnos hacemos escape silencioso ministra vocera gobierno… diputadosrepublicanos,2024-05-11 11:52:51
@joseantoniokast,voltereta “perro matapacos” denigrante según ministra camila vallejo simbolo positivo personas insólito,2024-05-11 10:35:42
@joseantoniokast,llegaron tarde emergencia montaron show falsa reconstrucción primera lluvia dejaron solos abandonados frente gobierno cuida respeta sufren gobiernoincompetente,2024-05-10 21:44:03
@joseantoniokast,cerros viña mar junto candidato gobernador fvenezian futura alcaldesa antopecchenino viendo terreno abandono desprotección víctimas incendio ¿y camila vallejo nunca vieron,2024-05-10 15:54:45
@joseantoniokast,valparaiso junto futuro alcalde rgonzalezcamus futuro gobernador regional fvenezian acompañados diputados barchiesidip sanchezdiputado recuperemosvalparaiso soyrepublicano,2024-05-10 11:46:34
@joseantoniokast,vocera gobierno habla solo conviene uso tragedia viña mar figurar dejó abandonado necesitaban soluciones concretas,2024-05-09 22:45:03
