fecha,tweet_normalizado,user
2024-05-20 09:53:15,listo recibir lluvia providencia,@evelynmatthei
2024-05-19 09:30:28,compartiendo equipo cesfam aguilucho siendo parte proceso acreditación superintendencia salud transformaría centro segundo obtener distinción verdad equipo humano profesional primer nivel segura lograrán resultados deseados vecinos podrán acceder aún mejores atenciones mano uds,@evelynmatthei
2024-05-18 09:27:00,hace días visité 19° comisaría muniprovi siempre agrado compartir tanta ayuda brindan vecinos recorriendo dependencias conocí mascotas lugar obviamente sacamos clásica selfie mando abrazo grande cada agradezco compromiso providencia,@evelynmatthei
2024-05-18 08:30:00,farmacia provisalud ¡hoy farmacia abre puertas manera especial vecinos providencia dificulta día hábil horario atención público 900 1300hrs ¡acude tiempo olvides presentar tarjeta vecino,@evelynmatthei
2024-05-17 13:17:59,agenden tremendo panorama,@evelynmatthei
2024-05-17 09:09:32,día mundial reciclaje ¡felizviernes si aún unes cuidado planeta hoy buen día hacerlo video contamos cómo lleva cabo providencia ¡dale play info,@evelynmatthei
2024-05-16 16:35:14,comenzó época poda jardines sustentables hoy turno plaza loreto cousiño realizó mantención correspondiente diferentes tipos plantas lugar ayuda mantenerlas sanas fuertes además asegurar crecimiento,@evelynmatthei
2024-05-16 11:26:52,próximo martes 21 mayo cumplen 145 años combate naval iquique muniprovi quisimos rendir homenaje junto representantes fuerzas armadas orden colegios municipales bomberos vecinos forma recordamos marinos largo historia defendido valor honor país agradezco carol vargas alcaldesa subrogante concejal monckeberg representar comuna solemne acto,@evelynmatthei
2024-05-15 17:21:41,¿piensas adoptar perrito gatito seguramente duda tenencia responsable cuidados requiere mascota junto equipo protecciónanimal esperamos charla nuevos tutores mascota jueves 1605 18 20 hrs,@evelynmatthei
2024-05-15 12:31:13,tremenda actividad fundación cultural “mundo lego” amantes juegos podrán conocer tremenda exposición protagonista personajes icónicos películas además linda colección botánica pueden visitarla 21 julio av providencia 1995 ¡no pierdanculturaprovi,@evelynmatthei
2024-05-15 08:36:48,vecinos vecinas informamos terminado anticipadamente contrato empresa parquímetros easy parking spa debido incumplimientos parte empresa inició partir decisión adoptada concejo municipal nuevo llamado licitación además presentó querella falsificación instrumento privado uso malicioso instrumento privado falso empresa,@evelynmatthei
2024-05-14 20:00:32,feria laboral online providencia ofrecerá 1800 puestos trabajo así puedes postular,@evelynmatthei
2024-05-14 16:26:18,hace semana frente mal tiempo provocó juntaran desechosñ escombros ribera ríomapocho cuadrillas aseo municipal realizaron intensa jornada limpieza pedimos encarecidamente mantener limpieza lugar tarea cuidar entornos ecosistema,@evelynmatthei
2024-05-13 16:01:48,gracias trabajo patrulleros seguridadprovidencia logramos capturar banda delictual realizaba robo violencia vecino encontraba plena vía pública suma 32 bandas detenidas 2024 ¡no olvides denunciar llamando 1414,@evelynmatthei
2024-05-14 11:54:26,miércoles 15 domingo 19 mayo llevará cabo quinta versión expo empleos online 2024 año ofrecerán 1800 puestos laborales distintos rubros duda gran instancia facilitar acceso trabajo toda comunidad detalles,@evelynmatthei
2024-05-13 15:56:29,muniprovi realizado trabajo serio materia seguridad coordinación carabdechile embargo pese esfuerzo detención flagrancia delitos delincuentes siguen operando interior cárceles contexto reunimos jefes bancada chile vamos impulsen proyecto ley perfeccione funcionamiento cárceles régimen estricto,@evelynmatthei
2024-05-13 09:50:00,mañana invitada grupo estudiantes periodismo universidad autonomadechile vecinos municipio verdad sido placer compartir jóvenes futuro grandes profesionales buen inicio semana,@evelynmatthei
2024-05-13 09:42:14,concierto mes aniversario 127 muniprovi culturaprovi organizó concierto lasinfonica sábado 18 mayo 1830 hrs retiro invitaciones boletería teatro exclusivo vecinos tarjetavecino,@evelynmatthei
2024-05-12 16:05:24,espero buen domingo junto familias especialmente junto madres quiero contar salgo terreno gente cariñosa alegra tomarme fotos ustedes aquí muestro semana,@evelynmatthei
2024-05-12 20:22:31,gyuseff amoroso saludos,@evelynmatthei
2024-05-11 09:00:01,¡hay muchas opciones hacer fin semana capital festivales actividades culturales paseos aire libre,@evelynmatthei
2024-05-11 15:41:03,regalos mamá junto hubprovidencia invitamos feria “de emprende mamá ” variedad productos únicos especiales festejar mamá ¡te esperamos 20hrs orrego luco,@evelynmatthei
2024-05-11 11:31:15,felices tener vez expolego fundación culturaprovi panorama todas edades si año pasado sorprendió año aún lindo puedes comprar canjear entradas tarjeta vecino ¡te esperamos hoy 11 mayo 21 julio realmente van pasar bien,@evelynmatthei
2024-05-11 08:47:24,licencia conducir ¿aún renuevas licencia conducir recordamos hoy 9 1330 hrs atención especial cupos limitados orden llegada ¡te esperamos marchant pereira 880 conoce requisitos,@evelynmatthei
2024-05-10 17:46:17,respecto colusión conocimos mercado gases industriales plena pandemia afectó hospitales públicos quiero ser bien clara categórica parece totalmente reprochable sinvergüenzura nombre debe ser investigado rigor ley,@evelynmatthei
2024-05-10 13:36:48,junto distintas direcciones muniprovi carabdechile realizado trabajo coordinado ordenar entorno mall costanera center mejorar seguridad vecinos transitan sector medidas segregación pistas prohibición detenerse estacionar taxis aumento altura rejas perimetrales permitido disminuir 100 delitos robos violentos,@evelynmatthei
2024-05-09 18:40:19,debido frente mal tiempo consecuencias cortes luz comuna estudiando presentación demanda colectiva apoyar vecinos afectados encontrarán formulario vieron afectados,@evelynmatthei
2024-05-09 18:04:44,orgullosos gran trabajo realizan funcionarios centros salud muniprovi hoy visité cesfam aguilucho encuentra proceso acreditación ninguna duda lograrán ¡todo apoyo cada ustedes,@evelynmatthei
2024-05-09 13:40:33,comentario miserable,@evelynmatthei
2024-05-09 10:03:01,¡buen jueves paso recordarles si necesitan detergente suavizante lavaloza pueden encontrarlos puntos ecocarga dependencias municipales parque inés suárez aportamos cuidado medio ambiente reduciendo uso plástico además tarjetavecino 10 dscto todas compras hagan máquina,@evelynmatthei
2024-05-08 10:47:42,aún vacunado influenza covid recuerdo muniprovi contamos 3 centros habilitados cesfam dr alessandri cesfam aguilucho centro vacunación manuel montt 101 cuidémonos enfermedades respiratorias cuidemos resto ¡buen miércoles,@evelynmatthei
2024-05-08 07:58:49,proviinforma debido inconvenientes servicio energía eléctrica siguientes intersecciones semáforos apagados ¡recuerda conducir precaución,@evelynmatthei
2024-05-07 17:16:14,equipos muniprovi encuentran desplegados terreno destapando sumideros colaborando vecinos requieran ayuda recuerdo cualquier emergencia 1414 seguridadprovidencia alerta 247 ¡no olviden transitar cuidado,@evelynmatthei
2024-05-07 16:47:16,mucha atención recomendaciones día lluvia,@evelynmatthei
2024-05-07 13:36:45,año pasado oportunidad visitar medellín conocimos terreno sistema administraba forma remota cámara celulares acuden dicho sistema permite monitorear mejor manera emergencia idea implementamos muniprovi seguros gran herramienta combatir delincuencia 1414 videoalertapro,@evelynmatthei
2024-05-07 09:46:09,concejo municipal ¡felizmartes lluvia reunimos cada martes junto alcaldesa evelynmatthei autoridades muniprovi deliberar importantes temas providencia conoce ingresando acá,@evelynmatthei
2024-05-06 18:55:29,anuncian lluvias día mañana muniprovi realizando diversos trabajos limpieza sumideros poda árboles retiro hojas recuerden cualquier emergencia pueden comunicarse 1414 equipos disponibles 247,@evelynmatthei
2024-05-06 11:30:53,delitos robo sorpresa violencia preocupan muniprovi reunimos asociación fiscales diputado andreslongton pdte comisión seguridad camaracl objetivo colaborar elaboración proyectos ley parecen suma importancia vecinos muchas comunas resto país requiere además abordar urgencia déficit fiscales,@evelynmatthei
2024-05-05 13:50:17,providencia inspectores muniprovi colaboración carabdechile acuden diario puntos transitados fin prevenir delitos comuna recuperación espacios colabora labor denunciando 1414,@evelynmatthei
2024-05-05 10:00:19,mes patrimonio prepárate prográmate actividades culturales conmemorar patrimonio providencia visitas guiadas anticuarios cine música conoce acá,@evelynmatthei
2024-05-05 11:03:33,rojaschacn supuesto si ¡saludos,@evelynmatthei
2024-05-05 10:54:54,buen domingo solo paso recordarles muniprovi actividades marco aniversario comunal detalles pueden encontrar ¡nos vemos,@evelynmatthei
2024-05-05 11:00:44,foxdragon muniprovi ¡un gran abrazo,@evelynmatthei
2024-05-04 13:24:52,¡pero va entretenido,@evelynmatthei
2024-05-04 10:20:23,culturaprovi panorama imperdible pequeños nuevo provikids obra planeta alegría esperamos 12 hrs centro deportivo aguilucho entrada gratuita solo deben llegar lugar disfrutar hijos,@evelynmatthei
2024-05-03 18:59:08,muniprovi realizamos trabajo serio materia fiscalización año trabajo intensificado sector costanera center equipo fiscalización junto carabdechile apoyo seguridadprovidencia realizando constantes operativos fiscalizar taxis detienen inmediaciones centro comercial obstaculizan desplazamiento transporte público,@evelynmatthei
2024-05-03 11:57:53,noches humor 7 8 10 mayo invitamos reír carcajadas junto grandes comediantes chilenos teatrooriente puedes retirar 2 entradas solo 1 noche tarjeta vecino agotar stock conoce acá,@evelynmatthei
2024-05-03 12:32:57,hoy visité centro vacunación manuel montt 101 pude conversar vecinos encontraban ahí supuesto aproveché vacunarme covid influenza verdad dolió expedito bien atendidos funcionarios salud muniprovi si pertenecen grupo objetivo invito conocer puntos vacunación,@evelynmatthei
2024-05-03 09:32:25,luego días eeuu participé reuniones seminarios materia seguridad hoy regresé muniprovi contenta experiencias aprendidas espero pronto junto equipo municipal ver nuevas alternativas mejoras seguridad calles barrios ¡que lindo viernes,@evelynmatthei
2024-05-02 16:56:49,puede llamar persona alguien actúe tal nivel maldad frialdad desprecio absoluto vida barrio yungay persona abatida cobardemente oponer ninguna resistencia asalto realmente brutalidad impacta apena,@evelynmatthei
2024-05-02 10:24:25,barbmanriquez realmente honor compartir ustedes,@evelynmatthei
2024-04-30 14:16:46,ayer honor moderar charla alcaldesa evelynmatthei steven levitsky coautor how democracies die harvard 100 asistentes conversación necesaria inspiradora,@evelynmatthei
2024-05-01 13:07:33,día enviamos cariñoso saludo trabajadores comuna especialmente funcionarios muniprovi hacen providencia mejor lugar vivir vecinos vecinas díadeltrabajador,@evelynmatthei
2024-05-01 12:47:00,ustedes disfruten primero mayo merecen enormemente diadeltrabajador especial saludo equipo muniprovi realizan gran labor mejorar calidad vida vecinos providencia gran día,@evelynmatthei
