tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794852772728168902',¿Cuánto frío hará este lunes en Santiago?: Revisa las temperaturas mínimas que se registrarán en la RM https://t.co/39NSNBzMZL,es,Tweet,0,4,0,0,5463,2024-05-26 18:07:02,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448411-cuanto-frio-hara-manana-lunes-santiago-temperatura-minima-pronostico-tiempo-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716761262,,
'1794841525819752804',"Ejemplar ""Frateli La Vita"" se queda con el Clásico Club Hípico de Santiago Falabella 2024 https://t.co/Jmq6gbSjL8",es,Tweet,0,5,0,3,5336,2024-05-26 17:22:20,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/deportes/448419-clasico-club-hipico-de-santiago-falabella-2024-fds01-26-05-2024.html,,
'1794830817388093584',"Embajadora de EEUU ofreció ""recibir y ayudar"" a Camila Gómez por el tratamiento de su hijo Tomás Ross https://t.co/Rd63xFkq3h",es,Tweet,33,4227,1026,139,96380,2024-05-26 16:39:47,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448427-tomas-ross-duchenne-caminata-mama-camila-gomez-embajadora-de-eeuu-ofrecio-ayuda-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750432,,
'1794823376210473365',Capturan a cinco sujetos mientras intentaban realizar robo en una bodega de Santiago https://t.co/jxR1BRtqsz,es,Tweet,0,30,17,3,6942,2024-05-26 16:10:13,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448420-robo-bodega-santiago-capturan-a-cinco-sujetos-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750543,,
'1794820502957027632',Falta menos de un mes: Esta es la fecha de inicio de las vacaciones de invierno https://t.co/pEtsw7UyWy,es,Tweet,0,0,1,0,4326,2024-05-26 15:58:48,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448245-cuando-empiezan-las-vacaciones-de-invierno-santiago-regiones-fecha-dtf01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750533,,
'1794817980968108107',"""Se siguen burlando"": Madre de conscripto y paralización de Corte Suprema a investigación de Fiscalía sobre fatal marcha https://t.co/Vj8PqLkMBA",es,Tweet,0,9,6,4,6621,2024-05-26 15:48:47,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448421-caso-putre-marcha-militar-mama-conscripto-corte-suprema-frena-investigacion-fiscalia-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750526,,
'1794817162923716765',"¿Cuánto frío hará este lunes en Santiago?: Revisa las temperaturas mínimas que se registrarán en la RM
https://t.co/yYp8gIOjgX",es,Tweet,0,2,0,1,4917,2024-05-26 15:45:32,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448411-cuanto-frio-hara-manana-lunes-santiago-temperatura-minima-pronostico-tiempo-fds01-26-05-2024.html,,
'1794815484015030513',"""Desaparecer sin un rastro es imposible"": Hijo de mujer que lleva dos semanas desaparecida en Limache https://t.co/VuNkUkv2CK",es,Tweet,0,5,4,0,5528,2024-05-26 15:38:52,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448423-mujer-desaparecida-en-limache-maria-elsira-contreras-mella-entrevista-hijo-jose-luis-hernandez-fds01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750519,,
'1794812888252600568',Beneficio habitacional DS1: ¿Cuánto dinero entrega el subsidio que tiene postulaciones abiertas? https://t.co/Lpy70GWak6,es,Tweet,0,4,0,0,4183,2024-05-26 15:28:33,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448221-cuanto-dinero-entrega-subsidio-ds1-monto-tramo-1-2-3-minvu-dtf01-26-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716750512,,
'1794812654026199500',"Beneficio habitacional DS1: ¿Cuánto dinero entrega el subsidio que tiene postulaciones abiertas?
https://t.co/iMwfIPQyFR",es,Tweet,0,0,1,1,4080,2024-05-26 15:27:37,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/dato-util/448221-cuanto-dinero-entrega-subsidio-ds1-monto-tramo-1-2-3-minvu-dtf01-26-05-2024.html,,
