tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794819106958397664',[VIDEO] Jarry fue chocado por un pasapelotas y se dio un costalazo en su partido con Moutet #CooperativaContigo https://t.co/scLup4fmcj https://t.co/YR0u8wL4Da,es,Tweet,0,2,1,3,6747,2024-05-26 15:53:15,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>",#CooperativaContigo,https://tinyurl.com/28xozvlz,photo,https://pbs.twimg.com/media/GOh6dz2WkAA-O8Z.jpg
'1794818446343184463',"[MARCADOR VIRTUAL⚽️] ¡AL DESCANSO! Deportes Copiapó está igualando ante Audax Italiano en la fecha 14 del #CampeonatoNacional #CooperativaContigo
https://t.co/ZvtYSYL60k",es,Tweet,0,1,0,0,5148,2024-05-26 15:50:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#CampeonatoNacional,#CooperativaContigo",https://tinyurl.com/22xd576n,,
'1794815421612167226',Tabilo sufrió dolorosa remontada de Zizou Bergs en su estreno por #RolandGarros #CooperativaContigo https://t.co/frh5WQSPVY https://t.co/QdircMBUa2,ca,Tweet,0,4,2,0,5600,2024-05-26 15:38:37,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>","#RolandGarros,#CooperativaContigo",https://tinyurl.com/24zyfrwn,photo,https://pbs.twimg.com/media/GOh3HTwWkAAo9uc.png
'1794814877686734940',[EN VIVO 🎾] ¡A levantarse! Corentin Moutet ganó el segundo set ante Nicolás Jarry por 6-1 #RolandGarros #CooperativaContigo https://t.co/lc87xDCPH5 https://t.co/g2Ht0oDmRX,es,Tweet,0,4,0,2,5803,2024-05-26 15:36:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#RolandGarros,#CooperativaContigo",https://tinyurl.com/2cv32pql,photo,https://pbs.twimg.com/media/GOh2luiW0AAp4Ls.jpg
'1794814529844453682',Gol de Inter: Los lombardos alcanzan el 2-2 gracias a otra aparición de Arnautovic #CooperativaContigo https://t.co/KrbDfS2Qi2,es,Tweet,0,0,0,0,4861,2024-05-26 15:35:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/23kjupj4,,
'1794813165261480221',"[MARCADOR VIRTUAL⚽️] ¡GOOOOOL! Maximiliano Quinteros con un cabezazo pone la igualdad para Copiapó ante Audax Italiano #CooperativaContigo
https://t.co/ZvtYSYL60k",es,Tweet,0,1,0,0,4727,2024-05-26 15:29:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/22xd576n,,
'1794812927326949564',Gol de Hellas Verona: Tomás Suslov se inscribe con el 2-1 ante Inter de Milán https://t.co/KrbDfS3o7A,es,Tweet,0,1,0,0,4576,2024-05-26 15:28:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://tinyurl.com/23kjupj4,,
'1794812860360511887',Southampton selló su regreso a la Premier con apretado triunfo sobre Leeds #CooperativaContigo https://t.co/88FhNQCobn https://t.co/sQpmFbCvuj,es,Tweet,0,4,2,0,4521,2024-05-26 15:28:26,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>",#CooperativaContigo,https://tinyurl.com/2yop3uzj,photo,https://pbs.twimg.com/media/GOh0yOwX0AA1mbd.png
'1794811702464147842',Día de los Patrimonios: MOP invertirá más de 75 mil millones de pesos en cartera de restauración patrimonial #CooperativaContigo https://t.co/4MqeeSWRuR https://t.co/FRjU3vvCz7,es,Tweet,1,10,3,3,5877,2024-05-26 15:23:50,"<a href=""http://www.cooperativa.cl"" rel=""nofollow"">Cooperativa.cl</a>",#CooperativaContigo,https://tinyurl.com/224semjv,photo,https://pbs.twimg.com/media/GOhzumzWgAA-pmp.jpg
'1794810949133848731',[EN VIVO 🎾] ¡Se acabó el partido! Alejandro Tabilo perdió en cuatro sets contra Zizou Bergs por la primera ronda de #RolandGarros #CooperativaContigo https://t.co/lc87xDCPH5 https://t.co/NbvOdkP70l,es,Tweet,0,7,3,0,5659,2024-05-26 15:20:50,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>","#RolandGarros,#CooperativaContigo",https://tinyurl.com/2cv32pql,photo,https://pbs.twimg.com/media/GOhzBuvXsAAXDGD.jpg
